lawyer_name,title,firm_name,location,lawyer_about,languages,practice_areas,years_experience,join_date,connected,source
Ben Lehman,Partner  ,Ben Lehman,"VIC, Australia",,English,,,"May 16th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-ben-lehman
Anthony John Mc Minn,Principal  ,Anthony McMinn lawyer,"NSW, Australia"," ""Tony is a commercial lawyer who provides effective legal strategies to businesses and individuals, negotiates and documents transactions and facilitates the resolution of commercial disputes. 

With over 30 years legal experience, Tony brings commercial nous and judgment to find cost-effective solutions to commercial and corporate transactions and disputes.    

Tony obtained a Bachelor of Laws and Master of Laws from the University of Sydney. """,English,,34,"August 5th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-anthony-john-mcminn
Paul J Hick,Principal  ,Paul J Hick - Solicitor,"QLD, Australia"," ""Paul Hick is an experienced construction lawyer & commercial litigator.  He has extensive experience in construction dispute resolution including mediation, arbitration, expert determination, litigation & adjudication under security of payment legislation.  Paul is also experienced in contract negotiation & drafting, joint ventures, alliance & partnering arrangements as well as industry training on legal, contract & security of payment processes.""",English,,12,"March 31st, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-paul-j-hick
Steven Johnson,Legal Practitioner Director  ,Qld Law Group,"QLD, Australia"," ""Our firm thrives on carrying the Queenslander traits of no-nonsense, straight talking and hard work through all aspects of our legal practice. We offer personalised, thoroughly professional legal advice when you need it, without it costing the shirt off your back. We've got some exceptionally sharp legal minds that have proved our on-going success for over 20 years. At Qld Law Group - A New Direction Pty Ltd, we have the expertise to both deal with the law in all its complexity, and yet communicate with you in simple, uncomplicated terms. You won't find another legal firm that pulls it all together like we do.""",English,,27,"September 16th, 2013",21,https:/lawpath.com.au/lawyer-network/lawyer-steven-johnson
Amali Jayasekere,Business Manager   ,HHG Legal Group,"WA, Australia",,English,,,"August 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-amali-jayasekere
Alan J. Arnott,  ,Arnotts Technology Lawyers,"NSW, Australia",,English,,9,"February 20th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-alan-j-arnott
Patricia Jenman,Partner  ,Jenman Lawyers inc Karageorge & Co. Solicitors,"NSW, Australia",,English,,,"July 9th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-patricia-jenman
Erika Jasarevic,Lawyer/Director   ,E & G Legal ,"NSW, Australia,  United States of America "," ""Spanish speaking, energetic, hard worker, with an endless determination to get the job done. Erika is the lawyer any client would want to have on their side. Erika’s single goal is to help you. Her experience dealing in the areas of Business transactions, Foreclosure Defence, Probate & Estates, and litigating Criminal and Traffic cases, in the United States along with her understanding and familiarity with Australian Courts practicing in the areas of Civil Litigation, Property Law, Construction,""","English, Spanish",,,"October 14th, 2014",6,https:/lawpath.com.au/lawyer-network/lawyer-erika-jasarevic
Marc Jaku,Legal Practitioner Director  ,Jaku Legal Pty Ltd,"NSW, Australia",,English,,9,"December 12th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-marc-jaku
Annabelle Jacob,Solicitor  ,Neumann & Turnour,"QLD, Australia"," ""I have experience in family law matters concerning children’s issues and property matters. I am particularly passionate about ensuring children’s rights are protected when their parents are separating. I have also dealt with issues concerning international child recovery matters, have submitted appeals to the Social Security Appeals Tribunal concerning child support payments and deal with domestic violence applications.  """,English,,,"August 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-annabelle-jacob
Krisztina Jablanski,Marketing / I.T.  ,Wiltshire Lawyers,"QLD, Australia",,English,,,"September 25th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-krisztina-jablanski
Helen Kavadias,"Lawyer, Trade Mark & Patent Attorney  ",Phillips Ormonde Fitzpatrick,"NSW, Australia "," ""intellectual property (trade marks, patents, designs, copyright) protection, enforcement, and commercialisation""",English,,12,"July 5th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-helen-kavadias
Satwinder Kaur,Https:/Www.Google.Co.In  ,A Lismore Compensation Lawyer,"NT, Australia",,"English, Greek, French",,,"August 29th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-satwinder-kaur
Mitchell Jamieson,Legal Practitioner Director  ,Everyday Lawyers,"QLD, Australia",,English,,,"December 15th, 2013",16,https:/lawpath.com.au/lawyer-network/lawyer-mitchell-jamieson
Robert Kaufmann,Accredited Specialist In Criminal Law  ,Robert Kaufmann - Criminal Lawyer,"NSW, Australia",,English,,9,"July 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-robert-kaufmann
Ishan Karunanayake,Principal  ,IshanLaw,"NSW, Australia",,English,,8,"June 18th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-ishan-karunanayake
Chris Karamanolis,Director/Principal Lawyer  ,First Legal & Migration Services Pty Ltd,"VIC, Australia"," ""Approx 15 years experience in South Africa and 2 years in Australia (although we practice in various areas of the law, the majority  of our work is related to Australian Immigration law matters).""",English,,,"September 11th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-chris-karamanolis
Matthew Karakoulakis,Principal Solicitor  ,AMK Law,"VIC, Australia"," ""AMK Law is experienced in Dispute Resolution, Property and Commercial Laws and I am here to help you.

AMK Law is more than just a law firm. AMK Law provides practical and sensible solutions to your needs as first priority.... everytime.""","English, Portugese / Brasilero",,15,"March 15th, 2014",9,https:/lawpath.com.au/lawyer-network/lawyer-matthew-karakoulakis
Fred Kalouche,Associate Solicitor  ,CK Lawyers,"NSW, Australia",,English,,,"July 25th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-fred-kalouche
Laura Keily,Barrister  ,Barrister,"VIC, Australia,  entitled to practise in the UK"," ""Laura Keily is a commercial barrister who focuses on corporate law, including disputes and legal compliance.  She is available to act on all kinds of disputes, such as contract or payment disputes or regulatory investigations. Laura is a highly experienced corporate and business lawyer, with many years experience as a corporate solicitor at major firms prior to joining the Bar in 2013.  In some but not cases, a solicitor may need to be engaged in addition to the ultimate client.  """,English,,14,"November 6th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-laura-keily
Warwick Keay,Director   ,WKA Legal,"NSW, Australia",,English,,,"July 27th, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-warwick-keay
Miles Hunt,Partner  ,Schofield King Lawyers,"NSW, Australia",,English,,,"March 6th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-miles-hunt
Cristina Huesch,Principal  ,Alliance Family Law,"ACT, Australia",,English,,10,"October 19th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-cristina-huesch
Lincoln Hunter,Principal  ,"Loyalty Legal Pty Ltd, Commercial Lawyers","NSW, Australia",,English,,20,"August 6th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-lincoln-hunter
Christopher Humby,Associate  ,Thomsons Lawyers,"QLD, Australia"," ""I specialise in building and construction law and general commercial disputes.

My services include:
- Negotiating and drafting construction contracts and other commercial agreements
- Providing advice in relation to payment, quality and time related claims
- Acting for claimants or respondents in relation to claims under Security of Payment legislation
- Acting for parties involved in construction disputes, including litigation, arbitration and expert determination""",English,,5,"January 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-christopher-humby
Paul Fordyce,Managing Director  ,Pmf Legal Limited,"NSW, Australia",,English,,35,"September 17th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-paul-fordyce
Harry Foteades,Solicitor Director  ,Foteades Freeman Cohen,"NSW, Australia",,English,,,"May 20th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-harry-foteades
James Ford,,,,,English,,30,"September 26th, 2013",99,https:/lawpath.com.au/lawyer-network/lawyer-james-ford
Leif Godwin,  ,Godwin Legal,"NSW, Australia",,English,,20,"February 22nd, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-leif-godwin
Ken Gluche,Principal  ,Websters Lawyers,"SA, Australia",,English,,23,"August 14th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-ken-gluche
Michael Gleeson,Barrister  ,Eleventh Floor Garfield Barwick Chambers,"NSW, Australia and United Kingdom",,English,,"3,13","September 6th, 2013",15,https:/lawpath.com.au/lawyer-network/lawyer-michael-gleeson
Vinesh George,Partner  ,Neeta George,"NSW, Australia",,English,,,"August 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-vinesh-george
Dezi George,Principal  ,Hristoforos & George Solicitors,"VIC, Australia",,"English, Greek",,,"March 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-dezi-george
Mr. Gervase Liddy,Managing Partner  ,Taylor & Scott Lawyers,"NSW, Australia",,English,,38,"September 17th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-mr-gervase-liddy
Jonnita Gillam,Legal Consultant  ,De Silva Legal,"VIC, Australia",,English,,,"April 26th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-jonnita-gillam
Helen Gregoriou,Principal   ,Gregoriou Legal Pty Limited,"NSW, Australia"," ""We specialise in corporate, commercial and entertainment law with over 15 years of experience in these areas.  We are a legal service provider with a difference. We understand our clients wants and needs and offer our services accordingly.  We offer easy to understand and practical advice for commercial efficiency. We like to 'keep it simple' whilst covering all the bases. """,English,,15,"October 22nd, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-helen-gregoriou
Tony Greenwood,Solicitor  ,Shire Legal,"NSW, Australia",,English,,10,"May 14th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-tony-greenwood
Terence Guthridge,Owner  ,Guthridge ,"VIC, Australia",,English,,10,"July 22nd, 2013",26,https:/lawpath.com.au/lawyer-network/lawyer-terence-guthridge
Stephen Graham,  ,John F. Morrissey & Company lawyers,"NSW, Australia",,English,,,"May 16th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-stephen-graham
Lisa Gough,Barrister And Solicitor  ,Adelaide Family Law,"SA, Australia"," ""At Adelaide Family Law we offer personalised legal advice, specialising in the areas of family and de facto law.""",English,,19,"August 1st, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-lisa-gough--2
Michelle Gorton,Principal  ,Gorton IP,"NSW, Australia",,English,,10,"August 20th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-michelle-gorton
Damian Grant Phair,Principal  ,Dettmann Longworth Lawyers,"NSW, Australia",,English,,13,"July 3rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-damian-grant-phair
Gene Goodsell,Md  ,Goodsell Lawyers,"NSW, NSW, Australia"," ""Goodsell Lawyers is a boutique law firm based in Surry Hills. We are not just lawyers, we are dealmakers.

Our fees are reasonable and our service is exemplary. """,English,,9,"May 14th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-gene-goodsell
Bruce Bravo,Coo  ,PK Simpson & Co,"NSW, Australia",,English,,36,"September 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-bruce-bravo
Reuben Bramanathan,Senior Lawyer  ,Adroit Lawyers,"NSW, Australia"," ""Reuben is a tax lawyer with broad commercial legal experience and a passion for helping startups and small businesses to grow.

He has acted for a range of clients that include individuals, SMEs, family businesses, digital currency businesses and a number of listed and international companies.

Expertise in tax, small business and startups, Bitcoin. 
""","English, German",,6,"October 1st, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-reuben-bramanathan
Fred Chilton,Partner  ,Emil Ford Lawyers,"NSW, Australia",,English,,41,"September 12th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-fred-chilton
Shanice Hoang,Senior Associate   ,Kabo Lawyers,"NSW, Australia"," ""Property Lawyer with extensive experience in working with clients on medium to large scale developments projects

Experienced in managing development sales and purchase representation locally and overseas.""","English, Mandarin, Cantonese, German, Vietnamese, Other",,10,"April 10th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-shanice-hoang
Mariah Hipper,Office Manager  ,Greenhalgh Pickard Solicitors & Accountants,"QLD, Australia",,English,,,"September 26th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-mariah-hipper
Kathryn Hartmann,Graduate Lawyer  ,KWS Legal,"NSW, Australia"," ""I have recently joined the KWS Legal corporate/commercial/IP team as a graduate lawyer. I am currently completing my Graduate Diploma in Legal Practice from the College of Law having returned from working in London for the past two years. 

My training in law firms and companies both in Australia and the UK has developed my knowledge across a range of areas including e-commerce, corporate and commercial law, intellectual property, commercial property and private client services.""",English,,1,"June 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-kathryn-hartmann
Mark Harris,,,,,English,,,"October 21st, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-mark-harris
Chantelle Hamawi,Solicitor  ,Sabelberg Morcos Lawyers,"VIC, Australia,  China,  Egypt",,English,,"2,1,2","September 11th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-chantelle-hamawi
Sam Haln,Legal Consultant  ,De Silva Legal,"NSW, Australia",,"English, Other",,,"March 20th, 2014",5,https:/lawpath.com.au/lawyer-network/lawyer-sam-haln
Julian Gyngell,Principal  ,Kepdowrie Chambers,"NSW, Australia"," ""Julian Gyngell is a corporate / commercial lawyer who for 28 years has specialised in working with clients in the complementary (and converging) IP-rich, creative industry sectors: 
•	IT and ICT systems and services
•	telecoms: 3G and 4G product development and licensing
•	e-commerce and m-commerce apps and services
•	multimedia, crossmedia & transmedia: content development, publication, syndication
•	biotech / pharmaceutical / life sciences
•	entertainment""",English,,28,"March 6th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-julian-gyngell
Chris Hexton,Partner  ,Mallesons,"NSW, Australia",,Greek,,,"January 28th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-chris-hexton
Glenn Hindmarsh,Lawyer  ,PCL Lawyers,"VIC, Australia",,"English, Russian",,,"April 9th, 2014",53,https:/lawpath.com.au/lawyer-network/lawyer-glenn-hindmarsh
Monique Hayes,Solicitor  ,Southern Waters Legal,"NSW, Australia",,English,,,"February 17th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-monique-hayes
Katherine Hawes,Principal  ,Aquarius Lawyers,"NSW, Australia",,English,,16,"July 10th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-katherine-hawes
Yu Chin Cheng,Principal Lawyer  ,Holmes Legal,"QLD, Australia"," ""Holmes Legal is a boutique law firm in Brisbane specialising in the areas of personal injury, property and commercial law.""","English, Mandarin",,,"April 11th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-yu-chin-cheng
Vincent Cheng,Principal Lawyer  ,MurdockCheng Legal Practice,"NSW, Australia",,English,,6,"October 23rd, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-vincent-cheng
Deborah Chee,Principal  ,DSC Law Firm,"NSW, Australia",,English,,15,"July 9th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-deborah-chee
Eugene Chan,  ,Concisus Legal Pty Ltd,"NSW, Australia",,English,,,"February 18th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-eugene-chan
Cristina Cecere,"Director, Principal  ",CCR Legal,"SA, Australia",,"English, Italian",,,"November 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-cristina-cecere
David C Ford,Partner  ,Emil Ford Lawyers,"NSW, Australia",,English,,40,"March 6th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-david-c-ford
Neville Barber,Principal  ,NR Barber Legal,"WA, Australia",,English,,,"February 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-neville-barber
David Balog,Proprietor  ,DC Balog & Associates,"NSW, Australia,  Malaysia,  Singapore,  China"," ""Prompt, effective, friendly and affordable legal representation. Centrally located CBD law practice with a robust general practice and particular emphasis on:
•	Property Law
•	Local government law and planning law
•	Environmental law
•	Business and property law
•	Intellectual Property
•	Internet, Computer and Software Law
•	Restaurant, Bar, and Wine Licensing Laws
•	Pharmaceutical Industry Law

""",English,,30,"September 17th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-david-balog
Cade Badawy,Lawyer  ,Steiner Legal,"NSW, Australia",,"English, French",,,"January 31st, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-cade-badawy
Dan Atkin,Partner  ,Sparke Helmore,"NSW, Australia",,English,,,"March 7th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-dan-atkin
Samuel A. Shenouda,Principal Lawyer  ,S.A.S Lawyers,"NSW, Australia"," ""S.A.S Lawyers is a multi-practice law firm with offices in Sydney CBD and the Sutherland Shire. We specialise and provide astute legal advice and representation in:

Business and Commercial Law
Civil and Commercial Litigation
Conveyancing & Property Law
Criminal Law
Family Law
Traffic Law
Wills and Estate Planning / Litigation""","English, Other",,,"March 6th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-samuel-a-shenouda
Anthony Aristei,Director  ,Irwin Legal Pty Ltd,"WA, Australia",,English,,,"April 30th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-anthony-aristei
Justin Bharucha,Partner  ,bharucha and partners,"INDIA, India, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-justin-bharucha
Malcolm Bersten,Owner  ,Bersten Legal,"NSW, Australia"," ""My aim is to give my clients peace of mind by being a trusted adviser. My clients receive the benefit of my practical experience, with an understanding of the client perspective but without the legal jargon.""",English,,33,"October 22nd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-malcolm-bersten
Leona Bennett,Lawyer Accredited Family Law Specialist  ,Southern Waters Legal,"NSW, Australia",,,,,"February 17th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-leona-bennett
Jonathan Bevan,General Counsel  ,Jonathan Bevan and Associates,"NSW, UK,  Australia,  USA"," ""Specialist Power of Attorney. Guardianship. Estate Matters. Asset Protection. Crime. Family Law. Small business. Start-ups
International Law. General Counsel. Business Consultancy. I work with small business and private individuals to assist with all legal matters, forms, paperwork etc. Have lived and worked in many countries.""",English,,20,"February 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-jonathan-bevan
Simon Bennett,Solicitor Director  ,Southern Waters Legal,"NSW, Australia"," ""Southern Waters Legal is a specialist legal firm that specialises in Family Law, Property Law, Business Law, Probate and Estate, incapacity and Succession Planning.  """,English,,12,"February 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-simon-bennett
Mev Batepola,,,,,English,,,"October 21st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-mev-batepola
Janine Carroll,Corporate Lawyer  ,Woods Bagot,"SA, Australia",,English,,8,"July 17th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-janine-carroll
Shaun Campbell,Solicitor  ,NQ Legal,"QLD, Australia",,English,,,"June 12th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-shaun-campbell
Bruce Batey,Director / Solicitor  ,Batey's Family Lawyers,"NSW, Australia"," ""At Batey’s Family Lawyers we offer a friendly relaxed environment where we provide you with professional advice in the areas of, Family Law, Business and conveyancing law, Elder Law, and Wills and estate planning. We will make you feel comfortable and empowered while listening to you and treating you with respect and dignity.

Our aim is to assist you with a total solution at the earliest possible time. Please see our website at www.bateys.com.au """,English,,7,"September 18th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-bruce-batey
Malcolm Campbell,  ,Dooley & Associates Solicitors,"NSW, Australia",,English,,,"February 19th, 2013",14,https:/lawpath.com.au/lawyer-network/lawyer-malcolm-campbell
Elizabeth Burrows,Principal  ,Influence Legal,"NSW, Australia"," ""With over 20 years' experience advising clients ranging from large multinationals to individuals and small businesses, my practice focuses on commercial, IT and intellectual property issues, including privacy and compliance.""",English,,20,"March 27th, 2013",9,https:/lawpath.com.au/lawyer-network/lawyer-elizabeth-burrows
Cameron Burnett,Solicitor  ,"Gall Standfield & Smith, Solicitors","QLD, Australia",,English,,,"October 1st, 2013",6,https:/lawpath.com.au/lawyer-network/lawyer-cameron-burnett
Anthony Alder,Principal  ,Alder IP,"NSW, Australia,  USA,  Europe,  New Zealand"," ""Alder IP is a specialised law firm focused on helping clients with intellectual property and commercial law issues. We aim to PROTECT THE GREAT IDEAS of our clients.

Alder IP has over 15 years of experience and has lawyers, trade mark attorneys and patent attorneys ready to assist your business.""",English,,15,"March 27th, 2013",10,https:/lawpath.com.au/lawyer-network/lawyer-anthony-alder
Chris Adolphe,Principal  ,Chris Adolphe & Associates,"QLD, Australia",,English,,10,"March 18th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-chris-adolphe
Kathryn Adler,Director + Lawyer   ,Adler Legal,"NSW, Australia"," ""Adler Legal is a boutique commercial law firm based on the waterfront in Pyrmont.  Our principal, Kathryn Adler provides quality advice in the areas of Estate, Property and Business Law.  Whether it is assisting high net worth clients to establish testamentary trust Wills, representing buyers or sellers in conveyancing transactions or drafting business partnership agreements, Adler Legal prides itself on serving its clients by providing the best possible outcome for the most reasonable legal fee""",English,,,"February 20th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-kathryn-adler
Julia Adlem,Senior Associate Lawyer  ,Adelaide Legal,"SA, Australia"," ""Julia joined the team at Adelaide Legal in September 2006. She read law at Anglia University, Chelmsford in the United Kingdom. Julia's background in management gives her a negotiating edge and the drive to expect more. She doesn’t shy away from the hard fights, but also has the common sense to appreciate when settlement is sensible and guide you through the mine field of the dispute resolution process. Expect more from your lawyer. You matter to us.

""","English, Italian, Other",,8,"March 3rd, 2014",12,https:/lawpath.com.au/lawyer-network/lawyer-julia-adlem
Christopher Adams,Director/Prinicpal  ,Christopher Adams & Associates,"NSW, Australia,  Papua New Guinea"," ""Christopher heads a small firm of lawyers who can advise in almost all areas of law. The firm appears in all jurisdictions and takes pride in ensuring the client/lawyer relationship is balanced with prompt service  and regular contact.""",English,,7,"May 14th, 2014",81,https:/lawpath.com.au/lawyer-network/lawyer-christopher-adams
Patrick Coetsee,Solicitor  ,Kenny Spring Solicitors,"NSW, Australia ",,English,,4,"March 15th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-patrick-coetsee
Tim Colcutt,Solicitor  ,HHG Legal Group,"WA, Australia",,English,,,"April 9th, 2014",5,https:/lawpath.com.au/lawyer-network/lawyer-tim-colcutt
Eric Citra,Lawyer  ,Vanguard Legal,"QLD, Australia"," ""We are a firm of business litigation lawyers located in Queensland. We service all of Qld, NSW, Victoria and South Australia. We are able to assist you with all commercial, estate and insolvency litigation. The scope of work our firm practices in is everything from contract law through disputed estates and all matters concerning personal bankruptcy as well as business and corporate insolvency""","English, Mandarin, Other",,8,"December 13th, 2013",16,https:/lawpath.com.au/lawyer-network/lawyer-eric-citra
Felix Christian Hoelscher,Partner  ,Andersons Solicitors,"SA, South Australia (State Courts); Australia (Federal Court)",,English,,10,"June 25th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-felix-christian-hoelscher
Rick Christie,Principal  ,christielaw,"NSW, Australia",,English,,30,"September 17th, 2013",5,https:/lawpath.com.au/lawyer-network/lawyer-rick-christie
Jeffrey Choy,Principal Lawyer  ,Jeffrey Choy Legal,"NSW, Australia",,English,,,"April 12th, 2014",5,https:/lawpath.com.au/lawyer-network/lawyer-jeffrey-choy
Steven Chopping,Sole Practitioner  ,Steven Chopping LL.B,"TAS, Aust, Australia",,English,,41,"August 29th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-steven-chopping
Mark Allen,Director  ,Allen Legal,"NSW, Australia",,English,,,"October 15th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-mark-allen
Christina Alexopoulos,Director  ,Auscorp Solicitors & Conveyancers,"NSW, Australia",,English,,16,"July 9th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-christina-alexopoulos
Alex Butterworth,Founder  ,BUTTERMARK,"NSW, Australia"," ""BUTTERMARK is a brand protection service offering low cost trade mark registration and other registration services, including advice.""",English,,3,"May 29th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-alex-butterworth
Bruce Havilah,Principal  ,Havilah Legal,"WA, Australia",,English,,,"September 1st, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-bruce-havilah
Stephen Barry,Principal  ,CKB Associates Lawyers,"NSW, Australia",,English,,31,"May 13th, 2014",11,https:/lawpath.com.au/lawyer-network/lawyer-stephen-barry--2
Andrew Egri,Solicitor  ,Emil Ford Lawyers,"NSW, Australia",,English,,1,"August 27th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-andrew-egri
Stefano Del Monaco,Principal  ,Monaco Lawyers,"VIC, Australia",,Italian,,,"August 12th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-stefano-del-monaco--2
Catherine Curtis,Principal  ,Curtis Legal,"NSW, Australia",,English,,18,"August 9th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-catherine-curtis
Roger Curtis,Director  ,AbetzCurtis,"TAS, Australia",,English,,28,"August 29th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-roger-curtis
Simon Creek,Managing Director & Special Counsel (Family Law)  ,HHG Legal Group,"WA, Australia"," ""Award winning Family Law expert. Managing Director & Special Counsel at HHG Legal Group (the no. 3 law firm in Australia).""",English,,16,"July 30th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-simon-creek
Shaun Creighton,Director  ,ARETE Group Pty Ltd,"ACT, Australia,  New Zealand and International (Trade Marks)"," ""Shaun Creighton is the Director of ARETE Group, a boutique Intellectual Property and Commercial Law firm based in Canberra. Shaun and the ARETE team have specialist expertise in the identification, protection and commercialisation of intellectual property rights - especially trade marks; assist small and startup businesses as part of ARETE Group’s Start Me Up!™ offerings; and represent commercial entities, health organisations, professional athletes, sporting groups and media outlets.""",English,,12,"April 22nd, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-shaun-creighton
David Coote,Migration Agent  ,SVC LEGAL AUSTRALIA,"NSW, Australia",,English,,,"October 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-david-coote
Richard Conway,,,,,English,,6,"March 28th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-richard-conway
Pamela Cominos,Principal  ,Cominos Lawyers,"NSW, Australia",,English,,5,"July 21st, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-pamela-cominos
Patrick Cozens,Senior Associate  ,Cridlands MB ,"NT, Australia",,English,,5,"August 29th, 2013",5,https:/lawpath.com.au/lawyer-network/lawyer-patrick-cozens
Stefano Del Monaco,Principal  ,Monaco Lawyers,"VIC, Australia",,English,,19,"July 6th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-stefano-del-monaco
Philip De Jesus,Managing Partner  ,Norberto S. Gonzales and Associates,"PHILIPPINES, Philippines, Australia",,English,,7,"April 23rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-philip-de-jesus
Kent Davey,Director | Principal Solicitor  ,TechComm Legal,"VIC, Australia"," ""We provide clients with high quality, value for money legal services.  We have over 30 years' experience providing clients with legal services in the areas of IT, telecommunications, intellectual property, e-commerce, privacy and commercial law.  We have provided legal services to the largest private and public sector organisations including many ASX top 20 companies and large federal and state government departments and agencies.""",English,,20,"September 16th, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-kent-davey
Fiona Davis,Lawyer  ,Abetz Curtis Lawyers,"TAS, Australia",,English,,,"January 15th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-fiona-davis
Martin Daniel,Director  ,HW Litigation Pty Ltd,"QLD, Australia",,English,,13,"June 20th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-martin-daniel
M Ichael Dampney,Principal  ,Michael Dampney Lawyer,"NSW, Australia",,English,,28,"February 26th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-michael-dampney
Angus Edwards,Principal  ,Kenny Spring Solicitors,"NSW, Australia",,English,,14,"March 15th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-angus-edwards
Gail Easey,Lawyer  ,Toogoods  Migration,"QLD, Australia",,English,,,"October 16th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-gail-easey
